"","Navn","Stemmer","Uddannelse","Forebyggelse","Sundhed","Velfærd","Arbejdsmarked_1","Arbejdsmarked_2","Økonomi","Trafik","Ret","Social","Integration","EU","Udvikling","Miljø","Kultur","Parti","Storkreds","Lokalkreds","Alder","Titel","Bopæl","Køn","Valgt_ved_sidste_valg","Opstillet i kreds nr.","Nomineret i kreds nr.","Stemmer_Ialt","Valgt_nr","Stedfor_nr"
"555","Jesper Hansen",194,"Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Nordjyllands "," Brønderslev"," Ukendt"," cand.scient. "," 9493 Saltum"," Mand "," Nej ","Alle","3",392,"","8"
"556","Marianne Jelved",2171,"Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Nordjyllands "," Hjørring"," 72"," Kulturminister og kirkeminister "," 2800 Kgs. Lyngby"," Kvinde "," Ja ","Alle","2",4358,"1T",""
"557","Kjeld Lundager Jørgensen",320,"Delvist uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","radikale venstre","Nordjyllands "," Himmerland"," 54"," Agronom "," 9240 Nibe"," Mand "," Ja ","Alle","5",663,"","5"
"558","Louise Lundbeck Krog",640,"Helt uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","radikale venstre","Nordjyllands "," Aalborg vest"," Ukendt"," Byplanlægger "," 9000 Aalborg"," Kvinde "," Nej ","Alle","8",1349,"","2"
"559","Giajenthiran Velmurugan",479,"Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","radikale venstre","Nordjyllands "," Aalborg nord"," Ukendt"," Undervisningsass. "," 9000 Aalborg"," Mand "," Nej ","Alle","9",1006,"","4"
"560","Daniel Rugholm",4009,"Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","det konservative folkeparti","Nordjyllands "," Hjørring"," 33"," Viceborgmester "," 9800 Hjørring"," Mand "," Ja ","Alle","Alle",5996,"","1"
"561","Morten Thiessen",519,"Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Delvist enig","det konservative folkeparti","Nordjyllands "," Aalborg øst, Aalborg vest, Aalborg nord"," Ukendt"," Direktør "," 9000 Aalborg"," Mand "," Nej ","Alle","",953,"","4"
"562","Paul Rode Andersen",405,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Nordjyllands "," Frederikshavn"," Ukendt"," Lektor "," 9900 Frederikshavn"," Mand "," Nej ","Alle","1",866,"","3"
"563","Anders Tendal Christiansen",139,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Delvist uenig","socialistisk folkeparti","Nordjyllands "," Brønderslev"," Ukendt"," Fuldmægtig "," 9440 Aabybro"," Mand "," Nej ","Alle","3",314,"","7"
"564","Thomas Klimek",1217,"Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Nordjyllands "," Himmerland"," Ukendt"," Underviser "," 9800 Hjørring"," Mand "," Nej ","Alle","5",2616,"","1"
"565","Thomas Krog",1126,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Hverken enig eller uenig","socialistisk folkeparti","Nordjyllands "," Aalborg nord"," 44"," Konsulent "," 9700 Brønderslev"," Mand "," Nej ","Alle","9",2472,"","2"
"566","Peder Larsen",267,"Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Nordjyllands "," Mariagerfjord"," Ukendt"," Lærer "," 9550 Mariager"," Mand "," Nej ","Alle","6",637,"","4"
"567","Thorkil Olesen",167,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Nordjyllands "," Thisted"," 50"," Miljøchef "," 7730 Hanstholm"," Mand "," Ja ","Alle","4",489,"","6"
"568","Thyra Frank",2768,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Nordjyllands "," Storkredskandidat"," 63"," Sygeplejerske "," 1812 Frederiksberg C"," Kvinde "," Ja ","Alle","1 2 3 4 5 6 7",7426,"","1"
"569","Christina Egelund",3076,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Nordjyllands "," Storkredskandidat"," Ukendt"," Selvstændig "," 9000 Aalborg"," Kvinde "," Nej ","Alle","8 9",8468,"1K",""
"570","Klaus Hjulmand",397,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Nordjyllands "," Ukendt"," Ukendt"," Sælger, konsulent "," 9900 Frederikshavn"," Mand "," Nej ","Alle","",1035,"","4"
"571","Henrik Viholm",228,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Delvist enig","liberal alliance","Nordjyllands "," Storkredskandidat"," 60"," Direktør "," 9000 Aalborg"," Mand "," Ja ","Alle","",681,"","6"
"572","Bo Ritterbusch",736,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Nordjyllands "," Storkredskandidat"," 46"," Landmand "," 9560 Hadsund"," Mand "," Ja ","Alle","",1860,"","2"
"573","Martin K. Madsen",510,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Nordjyllands "," Storkredskandidat"," Ukendt"," Konsulent "," 9220 Aalborg Øst"," Mand "," Nej ","Alle","",1418,"","3"
"574","Claus Hermansen",340,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Helt enig","liberal alliance","Nordjyllands "," Storkredskandidat"," 40"," Frikirkepræst "," 9500 Hobro"," Mand "," Nej ","Alle","",919,"","5"
"575","Ruth Tidemand Nielsen",215,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","kristendemokraterne","Nordjyllands "," Frederikshavn"," 56"," Ufaglært "," 9800 Hjørring"," Kvinde "," Ja ","Alle","1",471,"",""
"576","Lene Meng Andersen",90,"Helt enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","kristendemokraterne","Nordjyllands "," Hjørring"," 66"," Direktør "," 9850 Hirtshals"," Kvinde "," Ja ","Alle","2",202,"",""
"577","Nick Hansen",673,"Helt enig","Delvist enig","Helt uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","kristendemokraterne","Nordjyllands "," Aalborg øst, Aalborg vest, Aalborg nord"," Ukendt"," cand.scient.adm. "," 9000 Aalborg"," Mand "," Nej ","Alle","7 8 9",1505,"",""
"578","Inger Ottesen",370,"Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt enig","Hverken enig eller uenig","kristendemokraterne","Nordjyllands "," Udenfor kreds"," 64"," Lektor i Psykologi "," 9480 Løkken"," Kvinde "," Ja ","Alle","4 5 6",880,"",""
"579","Bent Bøgsted",6862,"Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","dansk folkeparti","Nordjyllands "," Frederikshavn"," 59"," Maskinarbejder "," 9352 Dybvad"," Mand "," Ja ","Alle","1",21534,"1K",""
"580","Lise Bech",4181,"Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig","dansk folkeparti","Nordjyllands "," Thisted"," Ukendt"," Bogholder "," 9530 Støvring"," Kvinde "," Nej ","Alle","4",12951,"3K",""
"581","Tommy Degn",2231,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","dansk folkeparti","Nordjyllands "," Himmerland"," Ukendt"," Overpostbud "," 9610 Nørager"," Mand "," Nej ","Alle","5",7272,"","2"
"582","Erik Høgh-Sørensen",1370,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","dansk folkeparti","Nordjyllands "," Brønderslev"," Ukendt"," Journalist "," 8592 Anholt"," Mand "," Nej ","Alle","3",4136,"","3"
"583","Gert Ingolf Johansen",913,"Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","dansk folkeparti","Nordjyllands "," Aalborg nord"," 55"," Salgschef "," 9210 Aalborg SØ"," Mand "," Nej ","Alle","9",3142,"","5"
"584","Morten Marinus",4181,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","dansk folkeparti","Nordjyllands "," Aalborg øst"," 38"," Sygehusportør "," 9493 Saltum"," Mand "," Ja ","Alle","7",13021,"2K",""
"585","Ib Poulsen",2901,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","dansk folkeparti","Nordjyllands "," Hjørring"," 50"," Havnebetjent "," 7700 Thisted"," Mand "," Ja ","Alle","2",7881,"4K",""
"586","Laila Sortland",1100,"Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","dansk folkeparti","Nordjyllands "," Aalborg vest"," Ukendt"," Speditør "," 8550 Ryomgård"," Kvinde "," Nej ","Alle","8",3661,"","4"
"587","Kristoffer Hjort Storm",2263,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig","dansk folkeparti","Nordjyllands "," Mariagerfjord"," Ukendt"," Regionsrådsmedl. "," 9000 Aalborg"," Mand "," Nej ","Alle","6",7562,"","1"
"588","Mogens Brag",1248,"Delvist uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","venstre","Nordjyllands "," Frederikshavn"," Ukendt"," Kst. afd.leder "," 9340 Asaa"," Mand "," Nej ","Alle","1",1620,"","4"
"589","Kristian Andersen",1042,"Delvist uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig","venstre","Vestjyllands "," Ringkøbing"," 48"," Forstander "," 6880 Tarm"," Mand "," Ja ","Alle","11",5136,"",""
"591","Anders Broholm",5693,"Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt enig","venstre","Nordjyllands "," Brønderslev"," 31"," cand.mag. "," 9900 Frederikshavn"," Mand "," Ja ","Alle","3",7342,"","1"
"592","Søren Gade",28916,"Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Hverken enig eller uenig","venstre","Nordjyllands "," Aalborg vest"," 52"," cand.oecon. "," 7500 Holstebro"," Mand "," Nej ","Alle","8",37804,"1K",""
"593","Preben Bang Henriksen",10531,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Delvist enig","venstre","Nordjyllands "," Aalborg nord"," 61"," Advokat (H) ","  Aalborg"," Mand "," Ja ","Alle","9",13896,"2K",""
"594","Karsten Lauritzen",8114,"Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Delvist uenig","venstre","Nordjyllands "," Hjørring"," 32"," Bachelor "," 9800 Hjørring"," Mand "," Ja ","Alle","2",10507,"3K",""
"595","Torsten Schack Pedersen",6706,"Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist enig","venstre","Nordjyllands "," Thisted"," 39"," Cand.polit. "," 4180 Sorø"," Mand "," Ja ","Alle","4",7974,"4K",""
"596","Povl Erik Andersen",186,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Nordjyllands "," Frederikshavn"," Ukendt"," Efterlønsmodtager, tidl. fisker "," 9982 Aalbæk"," Mand "," Nej ","1.","9 ",1482,"","8"
"597","Stine Brix",5762,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Nordjyllands "," Aalborg øst"," 33"," Lægestuderende "," 2400 København NV"," Kvinde "," Ja ","7.","1 ",8474,"1K",""
"598","Susanne Flydtkjær",462,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Nordjyllands "," Aalborg vest"," 52"," Cand.phil. ","  Aalborg"," Kvinde "," Ja ","8.","3 ",2380,"","2"
"599","Peder Hvelplund",423,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Nordjyllands "," Hjørring"," 48"," Pædagog "," 9800 Hjørring"," Mand "," Ja ","2.","2 ",1928,"","1"
"600","Bo Fink",337,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Nordjyllands "," Thisted"," 67"," Gymnasielærer "," 7950 Erslev"," Mand "," Nej ","4.","4 ",1666,"","3"
"601","Miguel J. Valentine",193,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Hverken enig eller uenig","enhedslisten","Nordjyllands "," Mariagerfjord"," Ukendt"," Studerende "," 9500 Hobro"," Mand "," Nej ","6.","7 ",1142,"","6"
"602","Torsten Gejl",1433,"Delvist uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","alternativet","Nordjyllands "," Ukendt"," 51"," Direktør "," 8544 Mørke"," Mand "," Nej ","Alle","Alle",5945,"1T",""
"603","Kennith Nielsen",142,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Hverken enig eller uenig","alternativet","Nordjyllands "," Ukendt"," 45"," SOSU-assistent "," 9000 Aalborg"," Mand "," Nej ","Alle","",588,"","3"
"604","Jørgen Vangsted",337,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","alternativet","Nordjyllands "," Ukendt"," Ukendt"," Lærer "," 9560 Hadsund"," Mand "," Nej ","Alle","",1392,"","2"
"605","Simon Sjørup Simonsen",287,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","socialdemokraterne","Københavns "," Indre By"," 45"," Ph.d. "," 2200 København N"," Mand "," Nej ","Alle","3",464,"","7"
"606","Peter Hummelgård Thomsen",5065,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Københavns "," Tårnby"," Ukendt"," Konsulent ","  København V"," Mand "," Nej ","Alle","12",8294,"2K",""
"607","Mia Nyegård",696,"Hverken enig eller uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist uenig","radikale venstre","Københavns "," Indre By"," 41"," Adm. Direktør ","  København K"," Kvinde "," Ja ","Alle","3",1245,"","5"
"608","Christian Peter Schmidt-Sørensen Dragsdahl Scharling",286,"Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Delvist uenig","radikale venstre","Københavns "," Tårnby"," Ukendt"," Studerende "," 2300 København S"," Mand "," Nej ","Alle","12",510,"","8"
"609","Anne Hansen",1016,"Delvist enig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","det konservative folkeparti","Københavns "," Indre By, Nørrebro, Utterslev"," 30"," Konsulent ","  Hvidovre"," Kvinde "," Ja ","Alle","3 5 6",2145,"","4"
"610","Karin Storgård",573,"Helt enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","dansk folkeparti","Københavns "," Østerbro"," 75"," Selvstændig "," 2100 København Ø"," Kvinde "," Ja ","Alle","1",1472,"","4"
"611","Jette Plesner Dali",598,"Hverken enig eller uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","dansk folkeparti","Københavns "," Slots"," 67"," Lægesekretær "," 2000 Frederiksberg"," Kvinde "," Ja ","Alle","11",1513,"","3"
"612","Peter Skårup",11402,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","dansk folkeparti","Københavns "," Brønshøj"," 51"," Sekretariatschef "," Ukendt"," Mand "," Ja ","Alle","7",28555,"1K",""
"613","Victoria Ninosca Risbjerg Velasquez",324,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Københavns "," Utterslev"," 24"," Studerende ","  København V"," Kvinde "," Ja ","Alle","9",528,"","6"
"614","Rune Lundgård Jørgensen",292,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","alternativet","Københavns "," Ukendt"," Ukendt"," Studerende "," 2400 København NV"," Mand "," Nej ","Alle","",376,"","1"
"615","Rune Peter Wingård",443,"Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Delvist uenig","alternativet","Københavns "," Tårnby"," Ukendt"," cand.scient.soc. "," 2300 København S"," Mand "," Nej ","Alle","",888,"","4"
"616","Casper Strunge",1137,"Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","det konservative folkeparti","Københavns Omegns "," Gentofte"," 42"," Filmproducent "," 2930 Klampenborg"," Mand "," Ja ","Alle","1",2096,"","2"
"617","Mads Holger Norgård",977,"Helt enig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","det konservative folkeparti","Københavns Omegns "," Ballerup, Hvidovre"," 38"," Forfatter "," Ukendt"," Mand "," Nej ","Alle","5 8",1865,"","3"
"618","Charlotte Bircow Næss-Schmidt",1366,"Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Københavns Omegns "," Ukendt"," 54"," Fitness-coach "," 2920 Charlottenlund"," Kvinde "," Nej ","Alle","",4178,"","1"
"619","Frank Dahlgård",667,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Københavns Omegns "," Storkredskandidat"," 69"," cand.polit. "," 2880 Bagsværd"," Mand "," Nej ","Alle","",2072,"","2"
"620","Søren Kreilgård",52,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Københavns Omegns "," Storkredskandidat"," Ukendt"," cand.merc. "," 2950 Vedbæk"," Mand "," Nej ","Alle","",165,"","10"
"621","Sara Sejergård",187,"Helt enig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Delvist uenig","kristendemokraterne","Københavns Omegns "," Albertslund"," 39"," Lærer "," 2620 Albertslund"," Kvinde "," Ja ","Alle","5",352,"","7"
"622","Pia Kjærsgård",26583,"Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","dansk folkeparti","Københavns Omegns "," Ballerup"," 68"," Medlem af Præsidiet, 2. næstformand "," 2820 Gentofte"," Kvinde "," Ja ","Alle","8",50397,"1K",""
