"","Navn","Opstillet i kreds nr.","Nomineret i kreds nr.","Stemmer_Ialt","Stemmer_pers","Valgt_nr","Stedfor_nr"
"638","Pelle Dragsted","10.","3 ",3827,2599,"3K",""
"639","Rosa Lund","9.","4 ",3956,1463,"","1"
"640","Jette Gottlieb","3.","5 ",2551,724,"","2"
"641","Sarah Glerup","12.","6 ",1610,866,"","3"
"642","Jørgen Arbo-Bæhr","8.","7 ",1540,131,"","4"
"643","Ninosca Victoria R. Velásquez","6.","8 ",2397,324,"","5"
"644","Mads Paulsen","4.","9 ",2010,198,"","6"
"645","Thyge Enevoldsen","11.","10 ",1353,110,"","7"
"646","Gunna Starck","1.","11 ",2191,184,"","8"
"647","Katrine Toft Mikkelsen","7.","12 ",2438,187,"","9"
"648","Søren Søndergaard","3.","1 ",5632,3038,"1K",""
"649","Pia Boisen","2.","2 ",2777,1139,"","1"
"650","Jeanne Toxværd","1.","3 ",2233,547,"","2"
"651","Jens Wenzel Andreasen","8.","4 ",2856,330,"","3"
"652","Peter Mikkelsen","4.","5 ",3175,320,"","4"
"653","Annika Holm Nielsen","5.","6 ",2681,551,"","5"
"654","Tobias Clausen","6.","7 ",2635,349,"","6"
"655","Mikael Hertoft","7.","8 ",3375,247,"","7"
"656","Maria Reumert Gjerding","3.","1 ",5167,2287,"1K",""
"657","Helle Osther Friedrichsen","2.","2 ",2077,561,"","1"
"658","Øjvind Vilsholm","5.","3 ",2765,412,"","2"
"659","Torben Kjær","6.","4 ",2237,292,"","3"
"660","Margit Kjeldgaard","1.","5 ",2938,466,"","4"
"661","Kent Weiss Holst","4.","6 ",2987,265,"","5"
"662","Morten Riis","1.","1 ",1244,570,"","1"
"663","Bo Haxthausen","2.","2 ",931,143,"","2"
"664","Christian Juhl","8.","1 ",4757,1648,"1K",""
"665","Eva Flyvholm","9.","2 ",5135,2651,"1T",""
"666","Jonathan Simmel","11.","3 ",2943,857,"","1"
"667","Bruno Jerup","4.","4 ",2891,268,"","2"
"668","Per Markmøller","1.","5 ",1794,217,"","3"
"669","Troels Juel","10.","6 ",3327,488,"","4"
"670","Martin Graff Jørgensen","3.","7 ",2145,328,"","5"
"671","Bente Lerche-Thomsen","2.","8 ",2755,650,"","6"
"672","Carsten Oddershede","7.","9 ",1896,206,"","7"
"673","Ivan Mott","6.","10 ",2869,292,"","8"
"674","Finn Klarskov Jensen","5.","11 ",2050,209,"","9"
"675","Anker Schjerning","12.","12 ",2812,289,"","10"
"676","Pernille Skipper","1.","1 ",13895,11120,"1K",""
"677","Rune Lund","5.","2 ",1758,530,"1T",""
"678","Jesper Kiel","7.","3 ",2871,604,"","1"
"679","Vibeke Syppli Enrum","8.","4 ",1622,261,"","2"
"680","Torsten Ringgaard","3.","5 ",1952,137,"","3"
"681","Reza Javid","2.","6 ",1905,245,"","4"
"682","Malene Rye Andersen","4.","7 ",1134,225,"","5"
"683","Per Jensen","6.","8 ",1438,191,"","6"
"684","Henning Hyllested","3. 4.","1 ",5939,3221,"1K",""
"685","Helge Bo Jensen","11.","2 ",1229,166,"","1"
"686","Jens Bundgaard Nielsen","2.","3 ",1413,221,"","2"
"687","Charlotte Nørgaard","7.","4 ",2052,919,"","3"
"688","Rasmus Slot","9.","5 ",1741,200,"","4"
"689","Cathrine Sund Laursen","5.","6 ",1685,544,"","5"
"690","Mathias D. Christiansen","13.","7 ",1583,267,"","6"
"691","Benny Dall","12.","8 ",1267,232,"","7"
"692","Ole Kaup","10.","9 ",1697,163,"","8"
"693","Arne Lindberg Callesen","6.","10 ",945,169,"","9"
"694","Anders K. Brandt","1.","11 ",1760,228,"","10"
"695","Ulf V. Olsen","8.","12 ",1303,91,"","11"
"696","Nikolaj Villumsen","4.","1 ",6415,2338,"1K",""
"697","Søren Egge Rasmussen","3.","2 ",5320,1124,"1T",""
"698","Rasmus Vestergaard Madsen","7.","3 ",2077,536,"","1"
"699","Maria Temponeras","9.","4 ",3261,890,"","2"
"700","Else Kayser","1.","5 ",3754,663,"","3"
"701","Helle Nielsen","6.","6 ",1990,512,"","4"
"702","Maja Albrechtsen","10.","7 ",3442,825,"","5"
"703","Anne Hegelund","2.","8 ",4336,809,"","6"
"704","Ulf Harbo","5.","9 ",2853,899,"","7"
"705","Bodil Kvistgaard Olsen","8.","10 ",1405,290,"","8"
"706","Henrik Qvist","11.","11 ",1107,212,"","9"
"707","Jakob Sølvhøj","3. 6.","1 ",3674,753,"1T",""
"708","Malte Bang","4. 5.","2 ",2493,486,"","1"
"709","Lea Maria Kielsholm","8.","3 ",1695,849,"","2"
"710","Heidi Steenberg Rud","10.","4 ",1503,409,"","3"
"711","Torben A. Hansen","7.","5 ",839,120,"","4"
"712","Jørn Vedel Eriksen","9.","6 ",923,189,"","5"
"713","Johnny Zaar","11.","7 ",999,143,"","6"
"714","Frede Kloch Sørensen","1.","8 ",985,116,"","7"
"715","Esben Andersen","2.","9 ",1420,245,"","8"
"716","Stine Brix","7.","1 ",8474,5762,"1K",""
"717","Peder Hvelplund","2.","2 ",1928,423,"","1"
"718","Susanne Flydtkjær","8.","3 ",2380,462,"","2"
"719","Bo Fink","4.","4 ",1666,337,"","3"
