"name","party","storkreds","lokalkreds","age","is.male","title","location","elected","votes.pers","votes.all","valgt.nr","stedfor.nr","opstillet.i.kreds.nr","nomineret.i.kreds.nr","ran.last.election","UDDANNELSE__Efter.folkeskolereformen.får.eleverne.for.lange.skoledage","FOREBYGGELSE__Afgiften.på.cigaretter.skal.sættes.op","SUNDHED__Et.besøg.hos.den.praktiserende.læge.skal.koste.eksempelvis.100.kr.","VELFÆRD__Mere.af.ældreplejen.skal.udliciteres.til.private.virksomheder","ARBEJDSMARKED__Man.skal.hurtigere.kunne.genoptjene.retten.til.dagpenge","ARBEJDSMARKED__Virksomheder.skal.kunne.drages.til.ansvar.for..om.deres.udenlandske.underleverandører.i.Danmark.overholder.danske.regler.om.løn..moms.og.skat","ØKONOMI__Vækst.i.den.offentlige.sektor.er.vigtigere.end.skattelettelser","TRAFIK__Investeringer.i.kollektiv.trafik.skal.prioriteres.højere.end.investeringer.til.fordel.for.privatbilisme","RET__Straffen.for.grov.vold.og.voldtægt.skal.skærpes","INTEGRATION__Offentlige.institutioner.i.Danmark.tager.for.mange.hensyn.til.religiøse.minoriteter","EU__EU.bestemmer.for.meget.i.forhold.til.dansk.lov","UDVIKLING__Ulandsbistanden.skal.sænkes","KULTUR__Den.offentlige.kulturstøtte.skal.sænkes"
"Per Husted","a","Nordjyllands "," Mariagerfjord",49,TRUE," Lektor "," 9560 Hadsund",FALSE,3934,6165,"","1","Alle","6",FALSE,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig"
"Simon Kollerup","a","Nordjyllands "," Thisted",29,TRUE," Konsulent "," 7741 Frøstrup",TRUE,10874,13839,"3K","","Alle","4",FALSE,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig"
"Flemming Møller Mortensen","a","Nordjyllands "," Himmerland",52,TRUE," Sygeplejerske, salgschef "," 9520 Skørping",TRUE,7897,12241,"5K","","Alle","5",FALSE,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Rasmus Prehn","a","Nordjyllands "," Aalborg vest",42,TRUE," Cand.scient.soc. "," 9000 Aalborg",TRUE,5875,9850,"1T","","Alle","8",FALSE,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Morten Ryom","a","Nordjyllands "," Aalborg øst",23,TRUE," Smed "," 9000 Aalborg",FALSE,2246,3822,"","3","Alle","7",TRUE,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Kasper Bagnkop","b","Nordjyllands "," Frederikshavn",37,TRUE," Lærer "," 9900 Frederikshavn",FALSE,535,1055,"","3","Alle","1",TRUE,"Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Helt uenig","Hverken enig eller uenig"
"Daniel Nyboe Andersen","b","Nordjyllands "," Aalborg øst",38,TRUE," Selvstændig "," 9220 Aalborg Øst",FALSE,736,1544,"","1","Alle","7",FALSE,"Delvist uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Jesper Hansen","b","Nordjyllands "," Brønderslev",48,TRUE," cand.scient. "," 9493 Saltum",FALSE,194,392,"","8","Alle","3",TRUE,"Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig"
"Marianne Jelved","b","Nordjyllands "," Hjørring",72,FALSE," Kulturminister og kirkeminister "," 2800 Kgs. Lyngby",TRUE,2171,4358,"1T","","Alle","2",FALSE,"Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Kjeld Lundager Jørgensen","b","Nordjyllands "," Himmerland",54,TRUE," Agronom "," 9240 Nibe",FALSE,320,663,"","5","Alle","5",FALSE,"Delvist uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Louise Lundbeck Krog","b","Nordjyllands "," Aalborg vest",44,FALSE," Byplanlægger "," 9000 Aalborg",FALSE,640,1349,"","2","Alle","8",TRUE,"Helt uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig"
"Giajenthiran Velmurugan","b","Nordjyllands "," Aalborg nord",26,TRUE," Undervisningsass. "," 9000 Aalborg",FALSE,479,1006,"","4","Alle","9",TRUE,"Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig"
"Daniel Rugholm","c","Nordjyllands "," Hjørring",33,TRUE," Viceborgmester "," 9800 Hjørring",FALSE,4009,5996,"","1","Alle","Alle",FALSE,"Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig"
"Morten Thiessen","c","Nordjyllands "," Aalborg øst, Aalborg vest, Aalborg nord",49,TRUE," Direktør "," 9000 Aalborg",FALSE,519,953,"","4","Alle","",TRUE,"Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig"
"Paul Rode Andersen","f","Nordjyllands "," Frederikshavn",65,TRUE," Lektor "," 9900 Frederikshavn",FALSE,405,866,"","3","Alle","1",TRUE,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Anders Tendal Christiansen","f","Nordjyllands "," Brønderslev",37,TRUE," Fuldmægtig "," 9440 Aabybro",FALSE,139,314,"","7","Alle","3",TRUE,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig"
"Thomas Klimek","f","Nordjyllands "," Himmerland",38,TRUE," Underviser "," 9800 Hjørring",FALSE,1217,2616,"","1","Alle","5",TRUE,"Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Thomas Krog","f","Nordjyllands "," Aalborg nord",44,TRUE," Konsulent "," 9700 Brønderslev",FALSE,1126,2472,"","2","Alle","9",TRUE,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig"
"Peder Larsen","f","Nordjyllands "," Mariagerfjord",42,TRUE," Lærer "," 9550 Mariager",FALSE,267,637,"","4","Alle","6",TRUE,"Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist uenig","Helt uenig"
"Thorkil Olesen","f","Nordjyllands "," Thisted",50,TRUE," Miljøchef "," 7730 Hanstholm",FALSE,167,489,"","6","Alle","4",FALSE,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Thyra Frank","i","Nordjyllands "," Storkredskandidat",63,FALSE," Sygeplejerske "," 1812 Frederiksberg C",FALSE,2768,7426,"","1","Alle","1 2 3 4 5 6 7",FALSE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Christina Egelund","i","Nordjyllands "," Storkredskandidat",37,FALSE," Selvstændig "," 9000 Aalborg",TRUE,3076,8468,"1K","","Alle","8 9",TRUE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Klaus Hjulmand","i","Nordjyllands "," Ukendt",43,TRUE," Sælger, konsulent "," 9900 Frederikshavn",FALSE,397,1035,"","4","Alle","",TRUE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Henrik Viholm","i","Nordjyllands "," Storkredskandidat",60,TRUE," Direktør "," 9000 Aalborg",FALSE,228,681,"","6","Alle","",FALSE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist enig"
"Bo Ritterbusch","i","Nordjyllands "," Storkredskandidat",46,TRUE," Landmand "," 9560 Hadsund",FALSE,736,1860,"","2","Alle","",FALSE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Martin K. Madsen","i","Nordjyllands "," Storkredskandidat",29,TRUE," Konsulent "," 9220 Aalborg Øst",FALSE,510,1418,"","3","Alle","",TRUE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Claus Hermansen","i","Nordjyllands "," Storkredskandidat",40,TRUE," Frikirkepræst "," 9500 Hobro",FALSE,340,919,"","5","Alle","",TRUE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Ruth Tidemand Nielsen","k","Nordjyllands "," Frederikshavn",56,FALSE," Ufaglært "," 9800 Hjørring",FALSE,215,471,"","","Alle","1",FALSE,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig"
"Lene Meng Andersen","k","Nordjyllands "," Hjørring",66,FALSE," Direktør "," 9850 Hirtshals",FALSE,90,202,"","","Alle","2",FALSE,"Helt enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Nick Hansen","k","Nordjyllands "," Aalborg øst, Aalborg vest, Aalborg nord",42,TRUE," cand.scient.adm. "," 9000 Aalborg",FALSE,673,1505,"","","Alle","7 8 9",TRUE,"Helt enig","Delvist enig","Helt uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig"
"Inger Ottesen","k","Nordjyllands "," Udenfor kreds",64,FALSE," Lektor i Psykologi "," 9480 Løkken",FALSE,370,880,"","","Alle","4 5 6",FALSE,"Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig"
"Bent Bøgsted","o","Nordjyllands "," Frederikshavn",59,TRUE," Maskinarbejder "," 9352 Dybvad",TRUE,6862,21534,"1K","","Alle","1",FALSE,"Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig"
"Lise Bech","o","Nordjyllands "," Thisted",53,FALSE," Bogholder "," 9530 Støvring",TRUE,4181,12951,"3K","","Alle","4",TRUE,"Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Tommy Degn","o","Nordjyllands "," Himmerland",48,TRUE," Overpostbud "," 9610 Nørager",FALSE,2231,7272,"","2","Alle","5",TRUE,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Delvist enig"
"Erik Høgh-Sørensen","o","Nordjyllands "," Brønderslev",50,TRUE," Journalist "," 8592 Anholt",FALSE,1370,4136,"","3","Alle","3",TRUE,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Gert Ingolf Johansen","o","Nordjyllands "," Aalborg nord",55,TRUE," Salgschef "," 9210 Aalborg SØ",FALSE,913,3142,"","5","Alle","9",TRUE,"Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig"
"Morten Marinus","o","Nordjyllands "," Aalborg øst",37,TRUE," Sygehusportør "," 9493 Saltum",TRUE,4181,13021,"2K","","Alle","7",FALSE,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig"
"Laila Sortland","o","Nordjyllands "," Aalborg vest",56,FALSE," Speditør "," 8550 Ryomgård",FALSE,1100,3661,"","4","Alle","8",TRUE,"Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig"
"Kristoffer Hjort Storm","o","Nordjyllands "," Mariagerfjord",26,TRUE," Regionsrådsmedl. "," 9000 Aalborg",FALSE,2263,7562,"","1","Alle","6",TRUE,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist enig"
"Mogens Brag","v","Nordjyllands "," Frederikshavn",39,TRUE," Kst. afd.leder "," 9340 Asaa",FALSE,1248,1620,"","4","Alle","1",TRUE,"Delvist uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig"
"Kristian Andersen","v","Vestjyllands "," Ringkøbing",46,TRUE," Forstander "," 6880 Tarm",FALSE,1042,5136,"","","Alle","11",FALSE,"Delvist uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig"
"Kristian Andersen","v","Vestjyllands "," Ringkøbing",46,TRUE," Forstander "," 6880 Tarm",FALSE,1042,1392,"","5","Alle","7",FALSE,"Delvist uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig"
"Kristian Andersen","v","Vestjyllands "," Ringkøbing",46,TRUE," Forstander "," 6880 Tarm",FALSE,1042,5136,"","","Alle","11",FALSE,"Delvist uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig"
"Kristian Andersen","v","Vestjyllands "," Ringkøbing",46,TRUE," Forstander "," 6880 Tarm",FALSE,1042,1392,"","5","Alle","7",FALSE,"Delvist uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig"
"Anders Broholm","v","Nordjyllands "," Brønderslev",31,TRUE," cand.mag. "," 9900 Frederikshavn",FALSE,5693,7342,"","1","Alle","3",FALSE,"Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig"
"Søren Gade","v","Nordjyllands "," Aalborg vest",52,TRUE," cand.oecon. "," 7500 Holstebro",TRUE,28916,37804,"1K","","Alle","8",TRUE,"Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig"
"Preben Bang Henriksen","v","Nordjyllands "," Aalborg nord",61,TRUE," Advokat (H) ","  Aalborg",TRUE,10531,13896,"2K","","Alle","9",FALSE,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist enig"
"Karsten Lauritzen","v","Nordjyllands "," Hjørring",32,TRUE," Bachelor "," 9800 Hjørring",TRUE,8114,10507,"3K","","Alle","2",FALSE,"Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig"
"Torsten Schack Pedersen","v","Nordjyllands "," Thisted",39,TRUE," Cand.polit. "," 4180 Sorø",TRUE,6706,7974,"4K","","Alle","4",FALSE,"Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig"
"Povl Erik Andersen","oe","Nordjyllands "," Frederikshavn",64,TRUE," Efterlønsmodtager, tidl. fisker "," 9982 Aalbæk",FALSE,186,1482,"","8","1.","9 ",TRUE,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Stine Brix","oe","Nordjyllands "," Aalborg øst",33,FALSE," Lægestuderende "," 2400 København NV",TRUE,5762,8474,"1K","","7.","1 ",FALSE,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Susanne Flydtkjær","oe","Nordjyllands "," Aalborg vest",52,FALSE," Cand.phil. ","  Aalborg",FALSE,462,2380,"","2","8.","3 ",FALSE,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Peder Hvelplund","oe","Nordjyllands "," Hjørring",48,TRUE," Pædagog "," 9800 Hjørring",FALSE,423,1928,"","1","2.","2 ",FALSE,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Bo Fink","oe","Nordjyllands "," Thisted",66,TRUE," Gymnasielærer "," 7950 Erslev",FALSE,337,1666,"","3","4.","4 ",TRUE,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Miguel J. Valentine","oe","Nordjyllands "," Mariagerfjord",27,TRUE," Studerende "," 9500 Hobro",FALSE,193,1142,"","6","6.","7 ",TRUE,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig"
"Torsten Gejl","aa","Nordjyllands "," Ukendt",51,TRUE," Direktør "," 8544 Mørke",TRUE,1433,5945,"1T","","Alle","Alle",TRUE,"Delvist uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Kennith Nielsen","aa","Nordjyllands "," Ukendt",45,TRUE," SOSU-assistent "," 9000 Aalborg",FALSE,142,588,"","3","Alle","",TRUE,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig"
"Jørgen Vangsted","aa","Nordjyllands "," Ukendt",59,TRUE," Lærer "," 9560 Hadsund",FALSE,337,1392,"","2","Alle","",TRUE,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Simon Sjørup Simonsen","a","Københavns "," Indre By",45,TRUE," Ph.d. "," 2200 København N",FALSE,287,464,"","7","Alle","3",TRUE,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Delvist enig","Helt uenig","Delvist enig"
"Peter Hummelgård Thomsen","a","Københavns "," Tårnby",32,TRUE," Konsulent ","  København V",TRUE,5065,8294,"2K","","Alle","12",TRUE,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Mia Nyegård","b","Københavns "," Indre By",41,FALSE," Adm. Direktør ","  København K",FALSE,696,1245,"","5","Alle","3",FALSE,"Hverken enig eller uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Christian Peter Schmidt-Sørensen Dragsdahl Scharling","b","Københavns "," Tårnby",22,TRUE," Studerende "," 2300 København S",FALSE,286,510,"","8","Alle","12",TRUE,"Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig"
"Anne Hansen","c","Københavns "," Indre By, Nørrebro, Utterslev",30,FALSE," Konsulent ","  Hvidovre",FALSE,1016,2145,"","4","Alle","3 5 6",FALSE,"Delvist enig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig"
"Karin Storgård","o","Københavns "," Østerbro",75,FALSE," Selvstændig "," 2100 København Ø",FALSE,573,1472,"","4","Alle","1",FALSE,"Helt enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Hverken enig eller uenig"
"Jette Plesner Dali","o","Københavns "," Slots",66,FALSE," Lægesekretær "," 2000 Frederiksberg",FALSE,598,1513,"","3","Alle","11",FALSE,"Hverken enig eller uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig"
"Peter Skårup","o","Københavns "," Brønshøj",51,TRUE," Sekretariatschef "," Ukendt",TRUE,11402,28555,"1K","","Alle","7",FALSE,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Delvist enig"
"Victoria Ninosca Risbjerg Velasquez","oe","Københavns "," Utterslev",24,FALSE," Studerende ","  København V",FALSE,324,528,"","6","Alle","9",FALSE,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Rune Lundgård Jørgensen","aa","Københavns "," Ukendt",32,TRUE," Studerende "," 2400 København NV",FALSE,292,376,"","1","Alle","",TRUE,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Rune Peter Wingård","aa","Københavns "," Tårnby",31,TRUE," cand.scient.soc. "," 2300 København S",FALSE,443,888,"","4","Alle","",TRUE,"Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig"
"Casper Strunge","c","Københavns Omegns "," Gentofte",42,TRUE," Filmproducent "," 2930 Klampenborg",FALSE,1137,2096,"","2","Alle","1",FALSE,"Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig"
"Mads Holger Norgård","c","Københavns Omegns "," Ballerup, Hvidovre",37,TRUE," Forfatter "," Ukendt",FALSE,977,1865,"","3","Alle","5 8",TRUE,"Helt enig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Charlotte Bircow Næss-Schmidt","i","Københavns Omegns "," Ukendt",54,FALSE," Fitness-coach "," 2920 Charlottenlund",FALSE,1366,4178,"","1","Alle","",TRUE,"Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Frank Dahlgård","i","Københavns Omegns "," Storkredskandidat",69,TRUE," cand.polit. "," 2880 Bagsværd",FALSE,667,2072,"","2","Alle","",TRUE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Søren Kreilgård","i","Københavns Omegns "," Storkredskandidat",44,TRUE," cand.merc. "," 2950 Vedbæk",FALSE,52,165,"","10","Alle","",TRUE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
