"name","party","storkreds","lokalkreds","age","is.male","title","location","elected","votes.pers","votes.all","valgt.nr","stedfor.nr","opstillet.i.kreds.nr","nomineret.i.kreds.nr","ran.last.election","UDDANNELSE__Efter.folkeskolereformen.får.eleverne.for.lange.skoledage","FOREBYGGELSE__Afgiften.på.cigaretter.skal.sættes.op","SUNDHED__Et.besøg.hos.den.praktiserende.læge.skal.koste.eksempelvis.100.kr.","VELFÆRD__Mere.af.ældreplejen.skal.udliciteres.til.private.virksomheder","ARBEJDSMARKED__Man.skal.hurtigere.kunne.genoptjene.retten.til.dagpenge","ARBEJDSMARKED__Virksomheder.skal.kunne.drages.til.ansvar.for..om.deres.udenlandske.underleverandører.i.Danmark.overholder.danske.regler.om.løn..moms.og.skat","ØKONOMI__Vækst.i.den.offentlige.sektor.er.vigtigere.end.skattelettelser","TRAFIK__Investeringer.i.kollektiv.trafik.skal.prioriteres.højere.end.investeringer.til.fordel.for.privatbilisme","RET__Straffen.for.grov.vold.og.voldtægt.skal.skærpes","INTEGRATION__Offentlige.institutioner.i.Danmark.tager.for.mange.hensyn.til.religiøse.minoriteter","EU__EU.bestemmer.for.meget.i.forhold.til.dansk.lov","UDVIKLING__Ulandsbistanden.skal.sænkes","KULTUR__Den.offentlige.kulturstøtte.skal.sænkes"
"Per Nørhave","o","Sjællands "," Ringsted",60,TRUE," Vicepolitikom. "," 4100 Ringsted",FALSE,1996,5767,"","1","Alle","11",FALSE,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Delvist uenig"
"Thomas Palmskov","o","Sjællands "," Næstved",54,TRUE," Seniorsergent "," 4700 Næstved",FALSE,1378,4375,"","2","Alle","4",FALSE,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig"
"Claus Bakke","v","Sjællands "," Lolland",50,TRUE," Ukendt "," Ukendt",FALSE,1607,2136,"","6","Alle","1",FALSE,"Delvist enig","Delvist enig","Helt uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig"
"Morten Dahlin","v","Sjællands "," Slagelse",26,TRUE," Ukendt "," Ukendt",FALSE,2986,4608,"","1","Alle","12",TRUE,"Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig"
"Louise Schack Elholm","v","Sjællands "," Ringsted",37,FALSE," Cand.polit. "," Ukendt",TRUE,3185,4743,"1T","","Alle","11",FALSE,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig"
"Jens Hald","v","Sjællands "," Holbæk",47,TRUE," Ukendt "," Ukendt",FALSE,1569,2383,"","5","Alle","9",TRUE,"Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig"
"Jacob Jensen","v","Sjællands "," Kalundborg",42,TRUE," Cand.merc.jur. "," 4340 Tølløse",TRUE,5864,8509,"3K","","Alle","10",FALSE,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig"
"Marcus Knuth","v","Sjællands "," Vordingborg",39,TRUE," Ukendt "," Ukendt",TRUE,7351,9986,"2K","","Alle","3",TRUE,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig"
"Karsten Nonbo","v","Sjællands "," Næstved",63,TRUE," Kriminalassistent "," 4700 Næstved",FALSE,3049,4548,"","2","Alle","4",FALSE,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig"
"Vibeke Nørly","v","Sjællands "," Faxe",51,FALSE," Ukendt "," 3060 Espergærde",FALSE,1242,1809,"","7","Alle","5",TRUE,"Helt uenig","Helt enig","Helt uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig"
"Benedikte Ask Skotte","v","Sjællands "," Guldborgsund",50,FALSE," Ukendt "," 2500 Valby",FALSE,2645,3669,"","3","Alle","2",TRUE,"Delvist uenig","Helt enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig"
"Christian Juhl","oe","Sjællands "," Roskilde",62,TRUE," Specialarbejder "," 8600 Silkeborg",TRUE,1648,4757,"1K","","8.","1 ",FALSE,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Eva Flyvholm","oe","Sjællands "," Holbæk",34,FALSE," Politisk rådgiver for Enhedslisten på EU-området og det internationale område "," 2500 Valby",TRUE,2651,5135,"1T","","9.","2 ",TRUE,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Jonathan Simmel","oe","Sjællands "," Ringsted",27,TRUE," Elektriker "," 2720 Vanløse",FALSE,857,2943,"","1","11.","3 ",TRUE,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Bruno Jerup","oe","Sjællands "," Næstved",58,TRUE," Lektor "," 4160 Herlufmagle",FALSE,268,2891,"","2","4.","4 ",FALSE,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Troels Juel","oe","Sjællands "," Kalundborg",29,TRUE," Studerende ","  Frederiksberg",FALSE,488,3327,"","4","10.","6 ",TRUE,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
