Navn,Stemmer,Uddannelse,Forebyggelse,Sundhed,Velfærd,Arbejdsmarked_1,Arbejdsmarked_2,Økonomi,Trafik,Ret,Social,Integration,EU,Udvikling,Miljø,Kultur,Parti,Storkreds,Lokalkreds,Alder,Titel,Bopæl,Køn,Valgt_ved_sidste_valg
Roger Matthisen,1081,Delvist enig,Helt enig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,Helt enig,Helt uenig,alternativet,Fyns , Ukendt, 39, cand.ling.merc. , 2100 København Ø, Mand , Nej 
Nikolaj Amstrup,1035,Delvist enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,alternativet,Fyns , Svendborg, 42, boghandler , 5700 Svendborg, Mand , Nej 
Karl Magnus Bidstrup,429,Helt enig,Helt enig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt uenig,Hverken enig eller uenig,Delvist uenig,Helt uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Helt enig,Helt uenig,alternativet,Fyns , Svendborg, Ukendt, Adjunkt , 5881 Skårup Fyn, Mand , Nej 
Henrik Halle,532,Delvist enig,Delvist enig,Delvist uenig,Delvist uenig,Delvist enig,Helt enig,Delvist uenig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Delvist enig,Delvist uenig,Helt enig,Helt uenig,alternativet,Fyns , Ukendt, Ukendt, Folkeskolelærer , 5683 Haarby, Mand , Nej 
Dan Westerholt,169,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt uenig,Helt enig,Helt uenig,alternativet,Fyns , Ukendt, 21, Studerende ,  Odense C, Mand , Nej 
Benny Engelbrecht,8516,Helt uenig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Sydjyllands , Sønderborg, 45, Skatteminister , 6300 Gråsten, Mand , Ja 
Niels Ole Beck,1130,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Helt enig,Delvist uenig,socialdemokraterne,Sydjyllands , Varde, 58, Socialpædagog , 6800 Varde, Mand , Ja 
Helle Due Buchvaldt,2739,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Delvist enig,Delvist enig,Helt uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Helt enig,Delvist uenig,socialdemokraterne,Sydjyllands , Esbjerg omegn, 50, Socialrådgiver , 6000 Kolding, Kvinde , Nej 
Ove Jensen,138,Helt uenig,Helt enig,Delvist enig,Helt uenig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,socialdemokraterne,Sydjyllands , Kolding nord, 73, Pensionist , 7000 Fredericia, Mand , Ja 
Karen Johanne Klint,6050,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,socialdemokraterne,Sydjyllands , Vejle syd, 68, Institutionsleder , 7120 Vejle Øst, Kvinde , Ja 
Christian Rabjerg Madsen,5201,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Delvist enig,Delvist enig,Helt uenig,Delvist enig,Delvist enig,Helt uenig,Delvist uenig,Delvist uenig,socialdemokraterne,Sydjyllands , Kolding syd, 29, Udv.konsulent , 6000 Kolding, Mand , Ja 
