Navn,Stemmer,Uddannelse,Forebyggelse,Sundhed,Velfærd,Arbejdsmarked_1,Arbejdsmarked_2,Økonomi,Trafik,Ret,Social,Integration,EU,Udvikling,Miljø,Kultur,Parti,Storkreds,Lokalkreds,Alder,Titel,Bopæl,Køn,Valgt_ved_sidste_valg
Michael Aastrup Jensen,6849,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt enig,Helt uenig,Hverken enig eller uenig,venstre,Østjyllands , Randers syd, 39, Fhv. borgmester , 8960 Randers SØ, Mand , Ja 
Troels Lund Poulsen,5031,Helt uenig,Delvist uenig,Helt uenig,Delvist enig,Delvist uenig,Delvist uenig,Delvist uenig,Delvist uenig,Helt enig,Delvist uenig,Delvist enig,Delvist enig,Helt enig,Delvist uenig,Delvist uenig,venstre,Østjyllands , Hedensted, 39, Fhv. minister , 4340 Tølløse, Mand , Ja 
Ejnar Schultz,693,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,venstre,Østjyllands , Århus nord, Ukendt, Direktør , 8240 Risskov, Mand , Nej 
Finn Thranum,1868,Helt uenig,Delvist uenig,Delvist uenig,Helt enig,Delvist enig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Delvist uenig,venstre,Østjyllands , Århus vest, 59, Ambulancebehandler , 8300 Odder, Mand , Ja 
Fatma Øktem,4379,Helt uenig,Delvist uenig,Delvist uenig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Helt enig,Delvist uenig,Delvist uenig,venstre,Østjyllands , Horsens, 41, Konsulent ,  Aarhus C, Kvinde , Ja 
Else Kayser,663,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Østjyllands , Århus syd, 62, Sygeplejerske ,  Aarhus C, Kvinde , Nej 
Nikolaj Villumsen,2338,Delvist enig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Delvist uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Østjyllands , Århus øst, 32, Studerende , 2400 København NV, Mand , Ja 
Søren Egge Rasmussen,1124,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Delvist uenig,enhedslisten,Østjyllands , Århus nord, 54, Bestyrelsesformand , 2400 København NV, Mand , Ja 
Rasmus Vestergård Madsen,536,Delvist enig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Delvist uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Østjyllands , Randers syd, 24, Økologisk landmand , 8660 Skanderborg, Mand , Ja 
Maria Temponeras,890,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Østjyllands , Skanderborg, Ukendt, Biolog , 8680 Ry, Kvinde , Nej 
Maja Wolff Albrechtsen,825,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Delvist uenig,enhedslisten,Østjyllands , Horsens, 30," socialrådgiver, cand.pæd. fil. ",  Aarhus C, Kvinde , Nej 
Anne Hegelund,809,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Østjyllands , Århus vest, Ukendt, Studerende , Ukendt, Kvinde , Nej 
Ulf Harbo,899,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Hverken enig eller uenig,enhedslisten,Østjyllands , Djurs, 38, Lærer , 8585 Glesborg, Mand , Nej 
Bodil Kvistgård Olsen,290,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Delvist uenig,enhedslisten,Østjyllands , Favrskov, Ukendt, Skolelærer , 8870 Langå, Kvinde , Nej 
Josephine Fock,3775,Delvist uenig,Helt enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Helt enig,Delvist uenig,alternativet,Østjyllands , Ukendt, 50, Sekretariatschef , 2300 København S, Kvinde , Nej 
Niko Grünfeld,2876,Delvist enig,Helt enig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Delvist enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Helt enig,Helt uenig,alternativet,Østjyllands , Ukendt, Ukendt, Direktør , 2500 Valby, Mand , Nej 
Vibeke Genefke,398,Delvist enig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,Helt enig,Helt uenig,alternativet,Østjyllands ," Århus vest, Randers nord", 48, Konsulent , 8210 Århus V, Kvinde , Nej 
Julius Gråkjær Grantzau,512,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,alternativet,Østjyllands ," Århus øst, Favrskov", Ukendt, Iværksætter , 8330 Beder, Mand , Nej 
Jesper Nørgård Kjær,211,Delvist uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Helt enig,Delvist uenig,alternativet,Østjyllands ," Århus øst, Favrskov", Ukendt, Medicinstuderende ,  Aarhus C, Mand , Nej 
Tina Kjær,551,Hverken enig eller uenig,Helt enig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt enig,Delvist uenig,Helt enig,Helt enig,Helt uenig,Delvist uenig,Delvist uenig,Helt uenig,Helt enig,Helt uenig,alternativet,Østjyllands ," Århus nord, Djurs", Ukendt, Planlægningsassistent , Ukendt, Kvinde , Nej 
Lynge Korsgård,222,Delvist enig,Helt enig,Delvist uenig,Delvist uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Helt enig,Helt uenig,alternativet,Østjyllands ," Horsens, Hedensted", Ukendt, Efterskolelærer , 8300 Odder, Mand , Nej 
Anders Stenumgård Lind,392,Helt enig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Delvist uenig,Helt enig,Delvist uenig,Delvist enig,Helt uenig,Helt enig,Helt uenig,Helt enig,Delvist uenig,alternativet,Østjyllands ," Djurs, Randers syd", Ukendt, cand.pæd. , 8500 Grenaa, Mand , Nej 
Lars Pallesen,239,Helt enig,Delvist enig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,Helt uenig,Helt enig,Helt uenig,alternativet,Østjyllands ," Århus vest, Randers nord", Ukendt, Kommunikationsmedarbejder , 8260 Viby J, Mand , Nej 
Thomas Risum Rasmussen,144,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Helt uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt enig,Delvist uenig,alternativet,Østjyllands ," Århus syd, Skanderborg", Ukendt, Arkitekt , 8660 Skanderborg, Mand , Nej 
Steen Rågård,222,Hverken enig eller uenig,Helt enig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,alternativet,Østjyllands ," Skanderborg, Horsens", 61, Arkitekt , 8300 Odder, Mand , Nej 
Alexander With,184,Hverken enig eller uenig,Helt enig,Delvist uenig,Delvist uenig,Delvist enig,Helt enig,Delvist uenig,Helt enig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt uenig,Helt enig,Delvist uenig,alternativet,Østjyllands ," Århus øst, Hedensted", Ukendt, Officer , Ukendt, Mand , Nej 
Helle Dam,2948,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,Delvist enig,Hverken enig eller uenig,socialdemokraterne,Vestjyllands , Struer, 55, Kontorassistent , 7500 Holstebro, Kvinde , Nej 
Kasper Skov Andersen,413,Delvist uenig,Delvist enig,Delvist uenig,Delvist uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Delvist enig,Helt uenig,Delvist uenig,Delvist uenig,Delvist uenig,Delvist enig,Helt uenig,socialdemokraterne,Vestjyllands , Viborg Øst, 23, Pædagog , 8800 Viborg, Mand , Nej 
Karin Gårdsted,5931,Helt uenig,Helt enig,Helt uenig,Helt uenig,Delvist enig,Delvist enig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,socialdemokraterne,Vestjyllands , Viborg Vest, 60, Lærer , 8800 Viborg, Kvinde , Ja 
Mogens Jensen,7921,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt enig,Delvist enig,Helt enig,Delvist enig,Delvist uenig,Delvist uenig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Vestjyllands , Herning syd, 52, Handels- og udviklingsminister ,  København V, Mand , Ja 
Thomas Jensen,7590,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Delvist uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,socialdemokraterne,Vestjyllands , Silkeborg Syd, 45, BA scient.pol. , 6000 Kolding, Mand , Ja 
Annette Lind,12703,Helt uenig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Vestjyllands , Holstebro, 46, Lærer , 7500 Holstebro, Kvinde , Ja 
Anne Paulin,6100,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,socialdemokraterne,Vestjyllands , Skive, 26, Konsulent , 2200 København N, Kvinde , Nej 
Frank Heidemann Sørensen,1697,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,socialdemokraterne,Vestjyllands , Ikast, 60, Lærer , 7442 Engesvang, Mand , Ja 
Johannes Lebech,960,Delvist uenig,Delvist enig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Vestjyllands , Holstebro, 67, Fhv. minister , 7500 Holstebro, Mand , Nej 
Erika Asmuss,176,Delvist uenig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,radikale venstre,Vestjyllands , Ringkøbing, 58, Sygeplejerske , 7400 Herning, Kvinde , Ja 
Sanne Bjørn,801,Delvist uenig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Vestjyllands ," Viborg Øst, Silkeborg Nord", 41, Sekretariatsleder , 8541 Skødstrup, Kvinde , Ja 
Jes Juul Lauesen,248,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt enig,Delvist enig,Delvist enig,Helt uenig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt uenig,radikale venstre,Vestjyllands , Silkeborg Syd, 56," cand.polit., skoleleder ", 8600 Silkeborg, Mand , Ja 
Andreas Råby Steenberg,1971,Helt uenig,Helt enig,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Delvist uenig,Delvist enig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,radikale venstre,Vestjyllands ," Skive, Herning syd", 32, Gymnasielærer ,  Aarhus C, Mand , Ja 
Søren Pape,11565,Helt enig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Helt enig,Helt uenig,Delvist uenig,det konservative folkeparti,Vestjyllands ," Viborg Vest, Viborg Øst", 43, Partiformand , 8850 Bjerringbro, Mand , Nej 
Pernille Bloch,327,Delvist uenig,Delvist enig,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Delvist enig,Helt uenig,Delvist enig,Delvist uenig,Delvist uenig,det konservative folkeparti,Vestjyllands , Holstebro, Ukendt, Advokat , 7500 Holstebro, Kvinde , Nej 
Jens-Henrik Kirk,407,Helt enig,Helt enig,Helt uenig,Delvist enig,Helt uenig,Helt enig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Helt uenig,det konservative folkeparti,Vestjyllands ," Herning nord, Herning syd", Ukendt, Efterskoleforst. , 9550 Mariager, Mand , Nej 
Jette Philipsen,469,Delvist enig,Delvist enig,Helt uenig,Delvist enig,Delvist uenig,Helt enig,Helt uenig,Delvist enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Helt enig,Delvist enig,Delvist uenig,det konservative folkeparti,Vestjyllands ," Silkeborg Syd, Silkeborg Nord", Ukendt, Selvstændig , 8600 Silkeborg, Kvinde , Nej 
Tove Videbæk,471,Helt enig,Helt enig,Helt uenig,Delvist enig,Delvist uenig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Delvist enig,Delvist enig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,det konservative folkeparti,Vestjyllands , Ikast, 69, Byrådsmedlem , 7330 Brande, Kvinde , Ja 
Orla Østerby,572,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,det konservative folkeparti,Vestjyllands , Struer, Ukendt, Centerchef , 7660 Bækmarksbro, Mand , Nej 
Andreas Albertsen,341,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Delvist enig,Helt uenig,Delvist enig,Delvist uenig,socialistisk folkeparti,Vestjyllands , Ringkøbing, Ukendt," cand.scient.pol., ph.d. ", 8210 Aarhus V, Mand , Nej 
Steen Gade,2111,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Vestjyllands , Silkeborg Syd, 70, Skolelærer , 2300 København S, Mand , Ja 
Signe Munk,1536,Delvist uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Delvist uenig,socialistisk folkeparti,Vestjyllands , Viborg Vest, Ukendt, Næstformand , 2820 Gentofte, Kvinde , Nej 
Susanne Buch Nielsen,888,Delvist uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Vestjyllands , Holstebro, Ukendt, Lektor , 7650 Bøvlingbjerg, Kvinde , Nej 
August Vigen Smolarz,175,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,socialistisk folkeparti,Vestjyllands , Silkeborg Nord, Ukendt, Studerende , 2100 København Ø, Mand , Nej 
Michael Thomsen,258,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Vestjyllands , Herning syd, 46, Lærer , 7400 Herning, Mand , Ja 
Anders Udengård,89,Hverken enig eller uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Delvist uenig,socialistisk folkeparti,Vestjyllands , Ikast, Ukendt, Pædagog , 7330 Brande, Mand , Nej 
Johnny Heinmann,525,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Vestjyllands , Storkredskandidat, Ukendt, Adm. direktør , 8600 Silkeborg, Mand , Nej 
Lene Foged,1121,Helt enig,Helt uenig,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Vestjyllands , Storkredskandidat, Ukendt, Salgskoordinator , 7850 Stoholm Jyll, Kvinde , Nej 
Emilia Djomina Hansen,380,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Vestjyllands , Ukendt, 19, studerende , 8620 Kjellerup, Kvinde , Nej 
Jakob Hildebrandt Hansen,310,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Vestjyllands , Storkredskandidat, Ukendt, Omsorgsmedhjælper , 6950 Ringkøbing, Mand , Nej 
Keld Lorenzen,343,Delvist enig,Delvist uenig,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Vestjyllands , Storkredskandidat, Ukendt, Area Sales Manager , 8800 Viborg, Mand , Nej 
Steffen Troldtoft,188,Helt enig,Helt uenig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,liberal alliance,Vestjyllands , Storkredskandidat, Ukendt, cand.it. , 6990 Ulfborg, Mand , Nej 
Leif Mikkelsen,3591,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Delvist uenig,liberal alliance,Vestjyllands , Storkredskandidat, 70, Fhv. gårdejer , 8600 Silkeborg, Mand , Ja 
Troels Moesgård,78,Helt enig,Helt uenig,Delvist enig,Delvist uenig,Helt enig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist uenig,Helt enig,kristendemokraterne,Vestjyllands , Struer, Ukendt, Leder , 7500 Holstebro, Mand , Nej 
Kristian Andersen,3860,Helt enig,Delvist enig,Helt uenig,Delvist enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Helt enig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,Delvist enig,Delvist enig,kristendemokraterne,Vestjyllands , Ringkøbing, 48, Forstander , 6880 Tarm, Mand , Ja 
Karlo Brondbjerg,148,Helt enig,Helt enig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt enig,Helt enig,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,kristendemokraterne,Vestjyllands , Ikast, 54, Byrådsmedlem , 7400 Herning, Mand , Ja 
Brian Christensen,163,Helt enig,Hverken enig eller uenig,Delvist uenig,Helt uenig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Helt enig,Helt uenig,Delvist enig,Delvist enig,kristendemokraterne,Vestjyllands , Holstebro, Ukendt, Præst , 7500 Holstebro, Mand , Nej 
Knud Gårn-Larsen,112,Helt enig,Helt enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Delvist enig,Delvist uenig,Helt uenig,Delvist uenig,Delvist uenig,Helt uenig,Delvist enig,Delvist uenig,kristendemokraterne,Vestjyllands , Viborg Vest, Ukendt, Købmand , 7470 Karup J, Mand , Nej 
Jens Ove Kjeldsen,522,Helt enig,Helt enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Helt uenig,Delvist enig,Delvist enig,kristendemokraterne,Vestjyllands , Silkeborg Nord, 70, Pensionist , 7400 Herning, Mand , Ja 
Rene Kjær,91,Helt enig,Helt enig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,Delvist enig,kristendemokraterne,Vestjyllands , Skive, Ukendt, cand.oecon. , 8840 Rødekjærsbro, Mand , Nej 
Jens Kristian Mølby Nielsen,272,Helt enig,Delvist enig,Delvist uenig,Helt uenig,Delvist enig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt uenig,Hverken enig eller uenig,Helt enig,kristendemokraterne,Vestjyllands , Herning nord, Ukendt, Landmand , 7490 Aulum, Mand , Nej 
Jacob Rabjerg,118,Helt enig,Delvist enig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,kristendemokraterne,Vestjyllands , Storkredskandidat, Ukendt, Studerende , 8600 Silkeborg, Mand , Nej 
Jette Lund,2231,Helt uenig,Helt enig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Delvist enig,Helt enig,Helt enig,Helt enig,Helt uenig,dansk folkeparti,Vestjyllands , Struer, Ukendt, Skoleleder , 7600 Struer, Kvinde , Nej 
Martin Lange Andersen,861,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Delvist uenig,Helt enig,Helt uenig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt enig,dansk folkeparti,Vestjyllands , Herning nord, Ukendt, Flyverspecialist , 7540 Haderup, Mand , Nej 
Preben Andersen,2735,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,Helt enig,Hverken enig eller uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,dansk folkeparti,Vestjyllands , Viborg Vest, 56, Købmand , 7840 Højslev, Mand , Ja 
Dennis Flydtkjær,9097,Delvist enig,Helt uenig,Helt uenig,Delvist uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Hverken enig eller uenig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt enig,dansk folkeparti,Vestjyllands , Ringkøbing, 37, Fhv. selvstændig erhvervsdrivende , 7400 Herning, Mand , Ja 
Anders Ladegård,1096,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt enig,dansk folkeparti,Vestjyllands , Skive, Ukendt, Studerende , 7400 Herning, Mand , Nej 
Christian Langballe,3887,Delvist enig,Helt uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt enig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt enig,dansk folkeparti,Vestjyllands , Viborg Øst, 48, Sognepræst , 8830 Tjele, Mand , Ja 
Richardt Gråkjær Bostrup Møller,1124,Delvist uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,dansk folkeparti,Vestjyllands , Holstebro, 40, Bagerfaglærer , 7500 Holstebro, Mand , Nej 
Peter Pedersen,1250,Helt enig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt enig,Helt enig,Helt enig,Delvist enig,Helt enig,dansk folkeparti,Vestjyllands , Silkeborg Syd, Ukendt, Politiassistent , 8600 Silkeborg, Mand , Nej 
Jan Berg Rasmussen,1455,Hverken enig eller uenig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,dansk folkeparti,Vestjyllands , Herning syd, Ukendt, Seniorsergent , 7451 Sunds, Mand , Nej 
