"name","age","party","votes","UDDANNELSE__Efter folkeskolereformen får eleverne for lange skoledage","FOREBYGGELSE__Afgiften på cigaretter skal sættes op","SUNDHED__Et besøg hos den praktiserende læge skal koste eksempelvis 100 kr.","VELFÆRD__Mere af ældreplejen skal udliciteres til private virksomheder","ARBEJDSMARKED__Man skal hurtigere kunne genoptjene retten til dagpenge","ARBEJDSMARKED__Virksomheder skal kunne drages til ansvar for, om deres udenlandske underleverandører i Danmark overholder danske regler om løn, moms og skat","ØKONOMI__Vækst i den offentlige sektor er vigtigere end skattelettelser","TRAFIK__Investeringer i kollektiv trafik skal prioriteres højere end investeringer til fordel for privatbilisme","RET__Straffen for grov vold og voldtægt skal skærpes","SOCIAL__Kontanthjælpen skal sænkes, så den økonomiske gevinst ved at arbejde bliver større","INTEGRATION__Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter","EU__EU bestemmer for meget i forhold til dansk lov","UDVIKLING__Ulandsbistanden skal sænkes","MILJØ__Indsatsen for at forbedre miljøet skal gå forud for økonomisk vækst","KULTUR__Den offentlige kulturstøtte skal sænkes"
"Merete Riisager",39,"i",5913,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Jes Victor Noldus Christiansen",45,"i",204,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Jimmy Steen Eriksen",45,"i",330,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig"
"Anders Kirkeby",24,"i",207,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig"
"Karen Lasthein Andersen",33,"i",176,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Thomas Wibroe Leth",47,"i",59,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Mads Nørgaard",28,"i",105,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig"
"Tonny Vest",48,"i",228,"Delvist enig","Helt uenig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig"
"Simon Lavdal-Pedersen",22,"k",26,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist uenig"
"Anders Friis Knudsen",55,"k",96,"Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Delvist uenig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig"
"Kim Brandt Laursen",58,"k",30,"Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig"
"Jens Ole Madsen",50,"k",62,"Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig"
"Per Nansted",48,"k",43,"Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig"
"Betina Signe Stick",42,"o",501,"Delvist uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig"
"Alex Ahrendtsen",48,"o",4996,"Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Pernille Bendixen",42,"o",3491,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig"
"Jens Henrik Thulesen Dahl",54,"o",9923,"Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig"
"Jesper Krarup",55,"o",1020,"Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig"
"Carsten Kudsk",44,"o",1874,"Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig"
"Åge Priisholm",61,"o",561,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig"
"Dorthe Ullemose",48,"o",2670,"Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig"
"Mark Grossmann",42,"v",2199,"Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig"
"Marlene Ambo-Rasmussen",29,"v",2239,"Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt enig"
"Erling Bonnesen",60,"v",9034,"Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig"
"Jane Heitmann",46,"v",4677,"Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig"
"Claus Houden",55,"v",1052,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig"
"Lars Christian Lilleholt",50,"v",8161,"Helt uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Delvist uenig","Delvist enig"
"Anne Katrine Melvig",39,"v",1820,"Helt uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig"
"Ole Filstrup Pedersen",52,"v",1534,"Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig"
"Pernille Skipper",31,"oe",11120,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Rune Lund",38,"oe",530,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Jesper Kiel",49,"oe",604,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Vibeke Syppli Enrum",67,"oe",261,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig"
"Torsten Ringgaard",39,"oe",137,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Reza Javid",52,"oe",245,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Malene Rye Andersen",41,"oe",225,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Delvist uenig"
"Per Jensen",58,"oe",191,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Hverken enig eller uenig"
"Roger Matthisen",39,"aa",1081,"Delvist enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig"
"Nikolaj Amstrup",42,"aa",1035,"Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Karl Magnus Bidstrup",34,"aa",429,"Helt enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig"
"Henrik Halle",42,"aa",532,"Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Helt uenig"
"Dan Westerholt",21,"aa",169,"Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig"
"Benny Engelbrecht",45,"a",8516,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig"
"Niels Ole Beck",58,"a",1130,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Delvist uenig"
"Helle Due Buchvaldt",50,"a",2739,"Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig"
"Ove Jensen",73,"a",138,"Helt uenig","Helt enig","Delvist enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Karen Johanne Klint",68,"a",6050,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig"
"Christian Rabjerg Madsen",29,"a",5201,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig"
"Frank Mosegaard",43,"a",354,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig"
"John Nyborg",52,"a",2719,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist uenig"
"Jesper Petersen",34,"a",6842,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig"
"Troels Ravn",54,"a",5891,"Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig"
"Anne Sina",28,"a",4582,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig"
"Stephan Kleinschmidt",38,"b",2819,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig"
"Jonna Buch Andersen",55,"b",326,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig"
"Rune Christiansen",38,"b",180,"Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Marlene Borst Hansen",41,"b",927,"Helt uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig"
"Ole Lynggaard Jørgensen",60,"b",275,"Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig"
"Lotte Rod",30,"b",2316,"Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Delvist uenig"
"John Bach Thygesen",55,"b",174,"Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig"
"Mike Legarth",55,"c",4031,"Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig"
"Dan Arnløv",40,"c",396,"Helt enig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Helt uenig"
"Tine Roos Nørgaard",35,"c",490,"Delvist enig","Helt uenig","Helt uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Helt uenig"
"Tina Franson Spile",45,"c",307,"Delvist enig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig"
"Peder Tørnqvist",54,"c",298,"Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig"
"Dennis Ørsted Petersen",27,"f",207,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig"
"Brian Bruhn",41,"f",187,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig"
"Ida Damborg",46,"f",905,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Hverken enig eller uenig"
"Karina Lorentzen Dehnhardt",41,"f",3169,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig"
"Hans Holmer",35,"f",165,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig"
"Claus Larsen",57,"f",109,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig"
"Susanne Mathiesen",54,"f",383,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig","Delvist enig"
"Ronny Roy Nielsen",36,"f",180,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist uenig"
"Rune Bai Nielsen",38,"f",111,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig"
"Lars Olesen",37,"f",162,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist uenig"
"Einar Olsen",60,"f",145,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig"
"Hans Winther",59,"f",111,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig"
"Mette Bock",58,"i",11588,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig","Delvist uenig"
"Sarah Maria Grønbæk",48,"i",353,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Dennis Paaske",34,"i",277,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Henrik Dahl",55,"i",2902,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig"
"Malene Ravn Neumann",34,"i",371,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Steen Holm Iversen",51,"i",451,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Frank Wichmann",53,"i",178,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Jakob Arendt Laursen",35,"i",173,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Niels Møller Jessen",56,"k",297,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig","Delvist enig"
"Knud Erik Hansen",70,"k",347,"Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig"
"Jens Schmidt Holm",66,"k",170,"Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig"
"Birgit Jakobsen",51,"k",473,"Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Hverken enig eller uenig"
"Jan Rytkjær Callesen",52,"o",2972,"Hverken enig eller uenig","Helt enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig"
"Jack Abilslund-Gregersen",33,"o",892,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Karina Adsbøl",38,"o",3101,"Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Kristian Thulesen Dahl",46,"o",57371,"Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Susanne Eilersen",51,"o",2421,"Delvist uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Julie Gottschalk",22,"o",1555,"Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig"
"Kristina Jørgensen",27,"o",2185,"Delvist uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig"
"Marie Krarup",49,"o",2436,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig"
"Svend Erik Nielsen",59,"o",866,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig"
"Frank Nørgaard Dam",65,"o",332,"Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig"
"Kenneth Fredslund Petersen",50,"o",698,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig"
"Peter Kofod Poulsen",25,"o",3336,"Delvist enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
